From	To
Q13242	SRSF9
Q13283	G3BP1
Q13347	EIF3I
Q13435	SF3B2
Q13442	PDAP1
Q13547	HDAC1
Q13630	GFUS
Q14019	COTL1
Q14061	COX17
Q14166	TTLL12
Q14204	DYNC1H1
Q14247	CTTN
Q14258	TRIM25
Q14566	MCM6
Q14697	GANAB
Q14974	KPNB1
Q15181	PPA1
Q15293	RCN1
Q15365	PCBP1
Q15382	RHEB
Q15388	TOMM20
Q15393	SF3B3
Q15427	SF3B4
Q15428	SF3A2
Q15459	SF3A1
Q15631	TSN
Q15691	MAPRE1
Q15785	TOMM34
Q15843	NEDD8
Q16543	CDC37
Q6IAA8	LAMTOR1
Q6P2Q9	PRPF8
Q7KZF4	SND1
Q7Z4W1	DCXR
Q86UE4	MTDH
Q86V81	ALYREF
Q8WXF1	PSPC1
Q92522	H1-10
Q92526	CCT6B
Q92945	KHSRP
Q969H8	MYDGF
Q96AG4	LRRC59
Q96C19	EFHD2
Q96I99	SUCLG2
Q96KP4	CNDP2
Q96PK6	RBM14
Q96QK1	VPS35
Q99497	PARK7
Q99623	PHB2
Q99829	CPNE1
Q99848	EBNA1BP2
Q9BPU6	DPYSL5
Q9BRA2	TXNDC17
Q9BVC6	TMEM109
Q9H299	SH3BGRL3
Q9H3P7	ACBD3
Q9H444	CHMP4B
Q9HB71	CACYBP
Q9NR31	SAR1A
Q9NRV9	HEBP1
Q9NSD9	FARSB
Q9NTK5	OLA1
Q9NTZ6	RBM12
Q9NX63	CHCHD3
Q9NZ01	TECR
Q9P258	RCC2
Q9P2E9	RRBP1
Q9UBI6	GNG12
Q9UBM7	DHCR7
Q9UBQ7	GRHPR
Q9UBT2	UBA2
Q9UHD8	SEPTIN9
Q9UHV9	PFDN2
Q9UMS4	PRPF19
Q9UQ35	SRRM2
Q9Y230	RUVBL2
Q9Y266	NUDC
Q9Y2B0	CNPY2
Q9Y2W1	THRAP3
Q9Y2X3	NOP58
Q9Y3E5	PTRH2
Q9Y3I0	RTCB
Q9Y490	TLN1
Q9Y4L1	HYOU1
Q9Y5M8	SRPRB
Q9Y678	COPG1
Q9Y696	CLIC4
